 j EnclosedM[g] Rad[cm] Vel[cm/s] Den[g/cc] X_H X_He
107 8.234e+33 1.927e+14 -3.079e+05 2.304e-13 0.5933 0.3866
108 8.234e+33 1.936e+14 -2.903e+05 2.301e-13 0.5933 0.3866
109 8.234e+33 1.944e+14 -2.725e+05 2.298e-13 0.5933 0.3866
110 8.235e+33 1.953e+14 -2.546e+05 2.295e-13 0.5933 0.3866
111 8.235e+33 1.961e+14 -2.367e+05 2.291e-13 0.5933 0.3866
112 8.235e+33 1.97e+14 -2.189e+05 2.281e-13 0.5933 0.3866
113 8.235e+33 1.979e+14 -2.015e+05 2.261e-13 0.5933 0.3866
114 8.235e+33 1.988e+14 -1.84e+05 2.241e-13 0.5933 0.3866
115 8.235e+33 1.996e+14 -1.662e+05 2.221e-13 0.5933 0.3866
116 8.235e+33 2.005e+14 -1.481e+05 2.201e-13 0.5933 0.3866
117 8.235e+33 2.014e+14 -1.3e+05 2.181e-13 0.5933 0.3866
118 8.235e+33 2.023e+14 -1.123e+05 2.165e-13 0.5933 0.3866
119 8.235e+33 2.032e+14 -9.468e+04 2.15e-13 0.5933 0.3866
120 8.236e+33 2.041e+14 -7.692e+04 2.135e-13 0.5933 0.3866
121 8.236e+33 2.05e+14 -5.855e+04 2.12e-13 0.5933 0.3866
122 8.236e+33 2.059e+14 -4.01e+04 2.105e-13 0.5933 0.3866
123 8.236e+33 2.068e+14 -2.203e+04 2.088e-13 0.5933 0.3866
124 8.236e+33 2.077e+14 -4610 2.068e-13 0.5933 0.3866
125 8.236e+33 2.086e+14 1.289e+04 2.047e-13 0.5933 0.3866
126 8.236e+33 2.096e+14 3.092e+04 2.04e-13 0.5933 0.3866
127 8.236e+33 2.105e+14 4.919e+04 2.037e-13 0.5933 0.3866
128 8.236e+33 2.114e+14 6.748e+04 2.032e-13 0.5933 0.3866
129 8.236e+33 2.124e+14 8.541e+04 2.019e-13 0.5933 0.3866
130 8.237e+33 2.133e+14 1.034e+05 2.006e-13 0.5933 0.3866
131 8.237e+33 2.143e+14 1.217e+05 1.991e-13 0.5933 0.3866
132 8.237e+33 2.152e+14 1.401e+05 1.974e-13 0.5933 0.3866
133 8.237e+33 2.162e+14 1.585e+05 1.956e-13 0.5933 0.3866
134 8.237e+33 2.171e+14 1.762e+05 1.935e-13 0.5933 0.3866
135 8.237e+33 2.181e+14 1.94e+05 1.914e-13 0.5933 0.3866
136 8.237e+33 2.19e+14 2.122e+05 1.901e-13 0.5933 0.3866
137 8.237e+33 2.2e+14 2.308e+05 1.892e-13 0.5933 0.3866
138 8.237e+33 2.21e+14 2.493e+05 1.882e-13 0.5933 0.3866
139 8.238e+33 2.22e+14 2.669e+05 1.869e-13 0.5933 0.3866
140 8.238e+33 2.229e+14 2.846e+05 1.856e-13 0.5933 0.3866
141 8.238e+33 2.239e+14 3.034e+05 1.85e-13 0.5933 0.3866
142 8.238e+33 2.249e+14 3.225e+05 1.845e-13 0.5933 0.3866
143 8.238e+33 2.259e+14 3.412e+05 1.835e-13 0.5933 0.3866
144 8.238e+33 2.269e+14 3.593e+05 1.817e-13 0.5933 0.3866
145 8.238e+33 2.279e+14 3.777e+05 1.801e-13 0.5933 0.3866
146 8.238e+33 2.289e+14 3.969e+05 1.792e-13 0.5933 0.3866
147 8.238e+33 2.299e+14 4.163e+05 1.783e-13 0.5933 0.3866
148 8.239e+33 2.31e+14 4.346e+05 1.764e-13 0.5933 0.3866
149 8.239e+33 2.32e+14 4.527e+05 1.744e-13 0.5933 0.3866
150 8.239e+33 2.33e+14 4.718e+05 1.729e-13 0.5933 0.3866
151 8.239e+33 2.34e+14 4.914e+05 1.717e-13 0.5933 0.3866
152 8.239e+33 2.351e+14 5.105e+05 1.698e-13 0.5933 0.3866
153 8.239e+33 2.361e+14 5.286e+05 1.669e-13 0.5933 0.3866
154 8.239e+33 2.372e+14 5.469e+05 1.645e-13 0.5933 0.3866
155 8.239e+33 2.382e+14 5.655e+05 1.641e-13 0.5933 0.3866
156 8.24e+33 2.393e+14 5.842e+05 1.638e-13 0.5933 0.3866
157 8.24e+33 2.403e+14 6.026e+05 1.625e-13 0.5933 0.3866
158 8.24e+33 2.414e+14 6.21e+05 1.611e-13 0.5933 0.3866
159 8.24e+33 2.425e+14 6.394e+05 1.602e-13 0.5933 0.3866
