j EnclosedMass[g] radius[cm] velocity[cm/s] density[g/cc] X_H X_He
103 -1.939e+40 2.587e+14 1.000e+07 2.366e-06 7.000e-01 2.800e-01
104 -1.938e+40 2.611e+14 1.000e+07 2.323e-06 7.000e-01 2.800e-01
105 -1.938e+40 2.635e+14 1.000e+07 2.280e-06 7.000e-01 2.800e-01
106 -1.937e+40 2.660e+14 1.000e+07 2.238e-06 7.000e-01 2.800e-01
107 -1.937e+40 2.684e+14 1.000e+07 2.197e-06 7.000e-01 2.800e-01
108 -1.936e+40 2.709e+14 1.000e+07 2.157e-06 7.000e-01 2.800e-01
109 -1.936e+40 2.734e+14 1.000e+07 2.118e-06 7.000e-01 2.800e-01
110 -1.935e+40 2.760e+14 1.000e+07 2.079e-06 7.000e-01 2.800e-01
111 -1.935e+40 2.785e+14 1.000e+07 2.041e-06 7.000e-01 2.800e-01
112 -1.934e+40 2.811e+14 1.000e+07 2.004e-06 7.000e-01 2.800e-01
113 -1.934e+40 2.837e+14 1.000e+07 1.967e-06 7.000e-01 2.800e-01
114 -1.933e+40 2.864e+14 1.000e+07 1.931e-06 7.000e-01 2.800e-01
115 -1.932e+40 2.890e+14 1.000e+07 1.896e-06 7.000e-01 2.800e-01
116 -1.932e+40 2.917e+14 1.000e+07 1.861e-06 7.000e-01 2.800e-01
117 -1.931e+40 2.944e+14 1.000e+07 1.827e-06 7.000e-01 2.800e-01
118 -1.931e+40 2.971e+14 1.000e+07 1.794e-06 7.000e-01 2.800e-01
119 -1.930e+40 2.999e+14 1.000e+07 1.761e-06 7.000e-01 2.800e-01
120 -1.930e+40 3.027e+14 1.000e+07 1.729e-06 7.000e-01 2.800e-01
121 -1.929e+40 3.055e+14 1.000e+07 1.697e-06 7.000e-01 2.800e-01
122 -1.929e+40 3.083e+14 1.000e+07 1.666e-06 7.000e-01 2.800e-01
123 -1.928e+40 3.112e+14 1.000e+07 1.636e-06 7.000e-01 2.800e-01
124 -1.928e+40 3.140e+14 1.000e+07 1.606e-06 7.000e-01 2.800e-01
125 -1.927e+40 3.170e+14 1.000e+07 1.576e-06 7.000e-01 2.800e-01
126 -1.926e+40 3.199e+14 1.000e+07 1.547e-06 7.000e-01 2.800e-01
127 -1.926e+40 3.229e+14 1.000e+07 1.519e-06 7.000e-01 2.800e-01
128 -1.925e+40 3.259e+14 1.000e+07 1.491e-06 7.000e-01 2.800e-01
129 -1.925e+40 3.289e+14 1.000e+07 1.464e-06 7.000e-01 2.800e-01
130 -1.924e+40 3.319e+14 1.000e+07 1.437e-06 7.000e-01 2.800e-01
131 -1.923e+40 3.350e+14 1.000e+07 1.411e-06 7.000e-01 2.800e-01
132 -1.923e+40 3.381e+14 1.000e+07 1.385e-06 7.000e-01 2.800e-01
133 -1.922e+40 3.412e+14 1.000e+07 1.360e-06 7.000e-01 2.800e-01
134 -1.921e+40 3.444e+14 1.000e+07 1.335e-06 7.000e-01 2.800e-01
135 -1.921e+40 3.476e+14 1.000e+07 1.311e-06 7.000e-01 2.800e-01
136 -1.920e+40 3.508e+14 1.000e+07 1.287e-06 7.000e-01 2.800e-01
137 -1.920e+40 3.541e+14 1.000e+07 1.263e-06 7.000e-01 2.800e-01
138 -1.919e+40 3.574e+14 1.000e+07 1.240e-06 7.000e-01 2.800e-01
139 -1.918e+40 3.607e+14 1.000e+07 1.217e-06 7.000e-01 2.800e-01
140 -1.918e+40 3.640e+14 1.000e+07 1.195e-06 7.000e-01 2.800e-01
141 -1.917e+40 3.674e+14 1.000e+07 1.173e-06 7.000e-01 2.800e-01
142 -1.916e+40 3.708e+14 1.000e+07 1.152e-06 7.000e-01 2.800e-01
143 -1.916e+40 3.742e+14 1.000e+07 1.131e-06 7.000e-01 2.800e-01
144 -1.915e+40 3.777e+14 1.000e+07 1.110e-06 7.000e-01 2.800e-01
145 -1.914e+40 3.812e+14 1.000e+07 1.090e-06 7.000e-01 2.800e-01
146 -1.913e+40 3.847e+14 1.000e+07 1.070e-06 7.000e-01 2.800e-01
147 -1.913e+40 3.883e+14 1.000e+07 1.050e-06 7.000e-01 2.800e-01
148 -1.912e+40 3.919e+14 1.000e+07 1.031e-06 7.000e-01 2.800e-01
149 -1.911e+40 3.955e+14 1.000e+07 1.012e-06 7.000e-01 2.800e-01
150 -1.911e+40 3.992e+14 1.000e+07 9.937e-07 7.000e-01 2.800e-01
151 -1.910e+40 4.029e+14 1.000e+07 9.755e-07 7.000e-01 2.800e-01
152 -1.909e+40 4.066e+14 1.000e+07 9.576e-07 7.000e-01 2.800e-01
153 -1.908e+40 4.104e+14 1.000e+07 9.401e-07 7.000e-01 2.800e-01
154 -1.908e+40 4.142e+14 1.000e+07 9.229e-07 7.000e-01 2.800e-01
155 -1.907e+40 4.181e+14 1.000e+07 9.061e-07 7.000e-01 2.800e-01
156 -1.906e+40 4.219e+14 1.000e+07 8.895e-07 7.000e-01 2.800e-01
157 -1.905e+40 4.259e+14 1.000e+07 8.732e-07 7.000e-01 2.800e-01
158 -1.904e+40 4.298e+14 1.000e+07 8.573e-07 7.000e-01 2.800e-01
159 -1.904e+40 4.338e+14 1.000e+07 8.416e-07 7.000e-01 2.800e-01
160 -1.903e+40 4.378e+14 1.000e+07 8.262e-07 7.000e-01 2.800e-01
161 -1.902e+40 4.419e+14 1.000e+07 8.111e-07 7.000e-01 2.800e-01
162 -1.901e+40 4.460e+14 1.000e+07 7.962e-07 7.000e-01 2.800e-01
