j EnclosedMass[g] radius[cm] velocity[cm/s] density[g/cc] X_H X_He
116 3.614e+31 2.917e+14 1.000e+07 1.986e-13 7.000e-01 2.800e-01
117 3.671e+31 2.944e+14 1.000e+07 1.953e-13 7.000e-01 2.800e-01
118 3.729e+31 2.971e+14 1.000e+07 1.921e-13 7.000e-01 2.800e-01
119 3.788e+31 2.999e+14 1.000e+07 1.890e-13 7.000e-01 2.800e-01
120 3.848e+31 3.027e+14 1.000e+07 1.859e-13 7.000e-01 2.800e-01
121 3.908e+31 3.055e+14 1.000e+07 1.828e-13 7.000e-01 2.800e-01
122 3.969e+31 3.083e+14 1.000e+07 1.798e-13 7.000e-01 2.800e-01
123 4.030e+31 3.112e+14 1.000e+07 1.768e-13 7.000e-01 2.800e-01
124 4.092e+31 3.140e+14 1.000e+07 1.738e-13 7.000e-01 2.800e-01
125 4.155e+31 3.170e+14 1.000e+07 1.710e-13 7.000e-01 2.800e-01
126 4.219e+31 3.199e+14 1.000e+07 1.681e-13 7.000e-01 2.800e-01
127 4.283e+31 3.229e+14 1.000e+07 1.653e-13 7.000e-01 2.800e-01
128 4.348e+31 3.259e+14 1.000e+07 1.626e-13 7.000e-01 2.800e-01
129 4.413e+31 3.289e+14 1.000e+07 1.598e-13 7.000e-01 2.800e-01
130 4.480e+31 3.319e+14 1.000e+07 1.572e-13 7.000e-01 2.800e-01
131 4.547e+31 3.350e+14 1.000e+07 1.545e-13 7.000e-01 2.800e-01
132 4.615e+31 3.381e+14 1.000e+07 1.519e-13 7.000e-01 2.800e-01
133 4.683e+31 3.412e+14 1.000e+07 1.494e-13 7.000e-01 2.800e-01
134 4.752e+31 3.444e+14 1.000e+07 1.468e-13 7.000e-01 2.800e-01
135 4.822e+31 3.476e+14 1.000e+07 1.444e-13 7.000e-01 2.800e-01
136 4.893e+31 3.508e+14 1.000e+07 1.419e-13 7.000e-01 2.800e-01
137 4.965e+31 3.541e+14 1.000e+07 1.395e-13 7.000e-01 2.800e-01
138 5.037e+31 3.574e+14 1.000e+07 1.371e-13 7.000e-01 2.800e-01
139 5.110e+31 3.607e+14 1.000e+07 1.348e-13 7.000e-01 2.800e-01
140 5.184e+31 3.640e+14 1.000e+07 1.325e-13 7.000e-01 2.800e-01
141 5.258e+31 3.674e+14 1.000e+07 1.303e-13 7.000e-01 2.800e-01
142 5.334e+31 3.708e+14 1.000e+07 1.280e-13 7.000e-01 2.800e-01
143 5.410e+31 3.742e+14 1.000e+07 1.258e-13 7.000e-01 2.800e-01
144 5.487e+31 3.777e+14 1.000e+07 1.237e-13 7.000e-01 2.800e-01
145 5.564e+31 3.812e+14 1.000e+07 1.215e-13 7.000e-01 2.800e-01
146 5.643e+31 3.847e+14 1.000e+07 1.195e-13 7.000e-01 2.800e-01
147 5.722e+31 3.883e+14 1.000e+07 1.174e-13 7.000e-01 2.800e-01
148 5.803e+31 3.919e+14 1.000e+07 1.154e-13 7.000e-01 2.800e-01
149 5.884e+31 3.955e+14 1.000e+07 1.134e-13 7.000e-01 2.800e-01
150 5.965e+31 3.992e+14 1.000e+07 1.114e-13 7.000e-01 2.800e-01
151 6.048e+31 4.029e+14 1.000e+07 1.095e-13 7.000e-01 2.800e-01
152 6.131e+31 4.066e+14 1.000e+07 1.076e-13 7.000e-01 2.800e-01
