j EnclosedMass[g] radius[cm] velocity[cm/s] density[g/cc] X_H X_He
145 7.013e+31 3.812e+14 1.000e+07 1.184e-13 7.000e-01 2.800e-01
146 7.089e+31 3.847e+14 1.000e+07 1.158e-13 7.000e-01 2.800e-01
147 7.166e+31 3.883e+14 1.000e+07 1.133e-13 7.000e-01 2.800e-01
148 7.243e+31 3.919e+14 1.000e+07 1.108e-13 7.000e-01 2.800e-01
149 7.320e+31 3.955e+14 1.000e+07 1.084e-13 7.000e-01 2.800e-01
150 7.398e+31 3.992e+14 1.000e+07 1.060e-13 7.000e-01 2.800e-01
151 7.477e+31 4.029e+14 1.000e+07 1.037e-13 7.000e-01 2.800e-01
152 7.555e+31 4.066e+14 1.000e+07 1.014e-13 7.000e-01 2.800e-01
153 7.634e+31 4.104e+14 1.000e+07 9.920e-14 7.000e-01 2.800e-01
154 7.714e+31 4.142e+14 1.000e+07 9.702e-14 7.000e-01 2.800e-01
155 7.794e+31 4.181e+14 1.000e+07 9.488e-14 7.000e-01 2.800e-01
156 7.875e+31 4.219e+14 1.000e+07 9.278e-14 7.000e-01 2.800e-01
157 7.955e+31 4.259e+14 1.000e+07 9.073e-14 7.000e-01 2.800e-01
158 8.037e+31 4.298e+14 1.000e+07 8.872e-14 7.000e-01 2.800e-01
159 8.118e+31 4.338e+14 1.000e+07 8.675e-14 7.000e-01 2.800e-01
160 8.201e+31 4.378e+14 1.000e+07 8.482e-14 7.000e-01 2.800e-01
161 8.283e+31 4.419e+14 1.000e+07 8.293e-14 7.000e-01 2.800e-01
162 8.366e+31 4.460e+14 1.000e+07 8.108e-14 7.000e-01 2.800e-01
163 8.450e+31 4.501e+14 1.000e+07 7.927e-14 7.000e-01 2.800e-01
164 8.534e+31 4.543e+14 1.000e+07 7.750e-14 7.000e-01 2.800e-01
165 8.618e+31 4.585e+14 1.000e+07 7.576e-14 7.000e-01 2.800e-01
166 8.703e+31 4.627e+14 1.000e+07 7.406e-14 7.000e-01 2.800e-01
167 8.788e+31 4.670e+14 1.000e+07 7.239e-14 7.000e-01 2.800e-01
168 8.873e+31 4.714e+14 1.000e+07 7.076e-14 7.000e-01 2.800e-01
169 8.959e+31 4.757e+14 1.000e+07 6.917e-14 7.000e-01 2.800e-01
170 9.046e+31 4.801e+14 1.000e+07 6.760e-14 7.000e-01 2.800e-01
171 9.132e+31 4.846e+14 1.000e+07 6.607e-14 7.000e-01 2.800e-01
172 9.220e+31 4.891e+14 1.000e+07 6.457e-14 7.000e-01 2.800e-01
173 9.307e+31 4.936e+14 1.000e+07 6.310e-14 7.000e-01 2.800e-01
174 9.395e+31 4.982e+14 1.000e+07 6.167e-14 7.000e-01 2.800e-01
175 9.484e+31 5.028e+14 1.000e+07 6.026e-14 7.000e-01 2.800e-01
176 9.572e+31 5.075e+14 1.000e+07 5.888e-14 7.000e-01 2.800e-01
177 9.662e+31 5.122e+14 1.000e+07 5.754e-14 7.000e-01 2.800e-01
178 9.751e+31 5.169e+14 1.000e+07 5.622e-14 7.000e-01 2.800e-01
179 9.841e+31 5.217e+14 1.000e+07 5.492e-14 7.000e-01 2.800e-01
180 9.932e+31 5.266e+14 1.000e+07 5.366e-14 7.000e-01 2.800e-01
181 1.002e+32 5.314e+14 1.000e+07 5.242e-14 7.000e-01 2.800e-01
182 1.011e+32 5.364e+14 1.000e+07 5.121e-14 7.000e-01 2.800e-01
183 1.021e+32 5.413e+14 1.000e+07 5.002e-14 7.000e-01 2.800e-01
184 1.030e+32 5.464e+14 1.000e+07 4.886e-14 7.000e-01 2.800e-01
185 1.039e+32 5.514e+14 1.000e+07 4.773e-14 7.000e-01 2.800e-01
186 1.048e+32 5.565e+14 1.000e+07 4.662e-14 7.000e-01 2.800e-01
187 1.058e+32 5.617e+14 1.000e+07 4.553e-14 7.000e-01 2.800e-01
188 1.067e+32 5.669e+14 1.000e+07 4.446e-14 7.000e-01 2.800e-01
189 1.076e+32 5.722e+14 1.000e+07 4.342e-14 7.000e-01 2.800e-01
190 1.086e+32 5.775e+14 1.000e+07 4.240e-14 7.000e-01 2.800e-01
191 1.095e+32 5.828e+14 1.000e+07 4.140e-14 7.000e-01 2.800e-01
192 1.105e+32 5.882e+14 1.000e+07 4.043e-14 7.000e-01 2.800e-01
193 1.114e+32 5.937e+14 1.000e+07 3.947e-14 7.000e-01 2.800e-01
194 1.124e+32 5.992e+14 1.000e+07 3.854e-14 7.000e-01 2.800e-01
195 1.133e+32 6.047e+14 1.000e+07 3.762e-14 7.000e-01 2.800e-01
196 1.143e+32 6.103e+14 1.000e+07 3.673e-14 7.000e-01 2.800e-01
197 1.153e+32 6.160e+14 1.000e+07 3.585e-14 7.000e-01 2.800e-01
198 1.162e+32 6.217e+14 1.000e+07 3.500e-14 7.000e-01 2.800e-01
199 1.172e+32 6.275e+14 1.000e+07 3.416e-14 7.000e-01 2.800e-01
200 1.182e+32 6.333e+14 1.000e+07 3.334e-14 7.000e-01 2.800e-01
201 1.192e+32 6.392e+14 1.000e+07 3.254e-14 7.000e-01 2.800e-01
202 1.202e+32 6.451e+14 1.000e+07 3.176e-14 7.000e-01 2.800e-01
203 1.211e+32 6.511e+14 1.000e+07 3.099e-14 7.000e-01 2.800e-01
204 1.221e+32 6.571e+14 1.000e+07 3.024e-14 7.000e-01 2.800e-01
205 1.231e+32 6.632e+14 1.000e+07 2.951e-14 7.000e-01 2.800e-01
206 1.241e+32 6.693e+14 1.000e+07 2.879e-14 7.000e-01 2.800e-01
207 1.251e+32 6.756e+14 1.000e+07 2.809e-14 7.000e-01 2.800e-01
208 1.261e+32 6.818e+14 1.000e+07 2.740e-14 7.000e-01 2.800e-01
209 1.271e+32 6.881e+14 1.000e+07 2.673e-14 7.000e-01 2.800e-01
210 1.281e+32 6.945e+14 1.000e+07 2.607e-14 7.000e-01 2.800e-01
211 1.292e+32 7.010e+14 1.000e+07 2.543e-14 7.000e-01 2.800e-01
212 1.302e+32 7.075e+14 1.000e+07 2.481e-14 7.000e-01 2.800e-01
213 1.312e+32 7.140e+14 1.000e+07 2.419e-14 7.000e-01 2.800e-01
214 1.322e+32 7.206e+14 1.000e+07 2.359e-14 7.000e-01 2.800e-01
215 1.332e+32 7.273e+14 1.000e+07 2.301e-14 7.000e-01 2.800e-01
216 1.343e+32 7.341e+14 1.000e+07 2.244e-14 7.000e-01 2.800e-01
217 1.353e+32 7.409e+14 1.000e+07 2.188e-14 7.000e-01 2.800e-01
218 1.363e+32 7.477e+14 1.000e+07 2.133e-14 7.000e-01 2.800e-01
219 1.373e+32 7.547e+14 1.000e+07 2.079e-14 7.000e-01 2.800e-01
220 1.384e+32 7.617e+14 1.000e+07 2.027e-14 7.000e-01 2.800e-01
221 1.394e+32 7.687e+14 1.000e+07 1.976e-14 7.000e-01 2.800e-01
222 1.404e+32 7.759e+14 1.000e+07 1.926e-14 7.000e-01 2.800e-01
223 1.415e+32 7.830e+14 1.000e+07 1.877e-14 7.000e-01 2.800e-01
224 1.425e+32 7.903e+14 1.000e+07 1.830e-14 7.000e-01 2.800e-01
225 1.436e+32 7.976e+14 1.000e+07 1.783e-14 7.000e-01 2.800e-01
226 1.446e+32 8.050e+14 1.000e+07 1.738e-14 7.000e-01 2.800e-01
