3.0000E-03 6.5760E-15
4.8377E-03 3.5407E-01 2.3698E-05
4.8477E-03 3.5406E-01 1.1612E-05
4.8577E-03 3.5405E-01 3.0690E-06
4.8677E-03 3.5405E-01 3.1016E-06
4.8777E-03 3.5405E-01 2.7056E-06
4.8878E-03 3.5405E-01 2.7313E-06
4.8978E-03 3.5406E-01 5.2519E-06
4.9078E-03 3.5405E-01 3.2486E-06
4.9178E-03 3.5405E-01 3.8433E-06
4.9278E-03 3.5406E-01 1.0704E-05
4.9379E-03 3.5405E-01 3.3453E-06
4.9479E-03 3.5407E-01 1.7069E-05
4.9579E-03 3.5406E-01 4.8407E-06
4.9679E-03 3.5405E-01 2.7270E-06
4.9779E-03 3.5406E-01 4.9595E-06
4.9880E-03 3.5406E-01 7.0153E-06
4.9980E-03 3.5406E-01 8.2149E-06
5.0080E-03 3.5405E-01 2.7126E-06
5.0180E-03 3.5405E-01 2.7467E-06
5.0280E-03 3.5405E-01 3.2756E-06
5.0381E-03 3.5406E-01 1.0741E-05
5.0481E-03 3.5405E-01 3.6543E-06
5.0581E-03 3.5406E-01 6.7585E-06
5.0681E-03 3.5405E-01 5.5181E-06
5.0781E-03 3.5405E-01 4.4998E-06
5.0882E-03 3.5406E-01 1.1213E-05
5.0982E-03 3.5410E-01 5.5214E-05
5.1082E-03 3.5405E-01 3.1736E-06
5.1182E-03 3.5502E-01 9.8018E-04
5.1282E-03 3.5417E-01 1.2356E-04
5.1383E-03 3.5405E-01 3.6762E-06
5.1483E-03 3.5406E-01 1.3330E-05
5.1583E-03 3.5405E-01 3.4242E-06
5.1683E-03 3.5405E-01 6.1459E-06
5.1783E-03 3.5405E-01 2.6178E-06
5.1884E-03 3.5405E-01 2.4848E-06
5.1984E-03 3.5483E-01 7.8090E-04
5.2084E-03 3.5408E-01 2.7228E-05
5.2184E-03 3.5406E-01 1.0106E-05
5.2284E-03 3.5405E-01 4.6971E-06
5.2385E-03 3.5405E-01 2.6508E-06
5.2485E-03 3.5406E-01 1.4208E-05
5.2585E-03 3.5406E-01 7.0517E-06
5.2685E-03 3.5408E-01 2.9163E-05
5.2785E-03 3.5408E-01 3.6409E-05
5.2886E-03 3.5484E-01 7.9836E-04
5.2986E-03 3.5406E-01 7.8778E-06
5.3086E-03 3.5405E-01 2.3049E-06
5.3186E-03 3.5405E-01 2.2736E-06
5.3286E-03 3.5405E-01 3.2965E-06
5.3387E-03 3.5415E-01 1.0553E-04
5.3487E-03 3.5405E-01 3.1650E-06
5.3587E-03 3.5405E-01 3.6909E-06
5.3687E-03 3.5405E-01 2.4354E-06
5.3787E-03 3.5406E-01 9.2939E-06
5.3888E-03 3.5461E-01 5.6940E-04
5.3988E-03 3.5592E-01 1.8943E-03
5.4088E-03 3.5406E-01 9.5128E-06
5.4188E-03 3.5405E-01 5.3716E-06
5.4288E-03 3.5405E-01 4.0419E-06
5.4389E-03 3.5405E-01 5.4070E-06
5.4489E-03 3.5405E-01 2.2901E-06
5.4589E-03 3.5405E-01 5.0687E-06
5.4689E-03 3.5405E-01 2.4974E-06
5.4789E-03 3.5405E-01 6.5916E-06
5.4890E-03 3.5406E-01 1.4263E-05
5.4990E-03 3.5405E-01 2.4149E-06
5.5090E-03 3.5405E-01 3.6083E-06
5.5190E-03 3.5405E-01 4.2656E-06
5.5290E-03 3.5405E-01 4.2158E-06
5.5391E-03 3.5405E-01 4.4031E-06
5.5491E-03 3.5405E-01 5.7825E-06
5.5591E-03 3.5405E-01 3.5078E-06
5.5691E-03 3.5405E-01 2.5234E-06
5.5791E-03 3.5405E-01 5.5466E-06
5.5892E-03 3.5406E-01 1.7106E-05
5.5992E-03 3.5405E-01 4.7761E-06
5.6092E-03 3.5405E-01 2.4679E-06
5.6192E-03 3.5405E-01 3.4240E-06
5.6292E-03 3.5405E-01 8.2526E-06
5.6393E-03 3.5405E-01 2.5525E-06
5.6493E-03 3.5405E-01 2.1280E-06
5.6593E-03 3.5405E-01 4.0038E-06
5.6693E-03 3.5405E-01 5.8049E-06
5.6793E-03 3.5405E-01 2.2139E-06
5.6894E-03 3.5405E-01 2.4618E-06
5.6994E-03 3.5406E-01 1.2588E-05
5.7094E-03 3.5405E-01 4.6036E-06
5.7194E-03 3.5405E-01 8.7031E-06
5.7294E-03 3.5405E-01 3.7834E-06
5.7395E-03 3.5407E-01 2.6969E-05
5.7495E-03 3.5405E-01 6.4293E-06
5.7595E-03 3.5406E-01 1.0468E-05
5.7695E-03 3.5405E-01 6.2344E-06
5.7795E-03 3.5406E-01 1.3435E-05
5.7896E-03 3.5410E-01 5.6872E-05
5.7996E-03 3.5406E-01 1.3035E-05
5.8096E-03 3.5408E-01 3.9894E-05
5.8196E-03 3.5407E-01 2.8714E-05
5.8296E-03 3.5420E-01 1.5535E-04
5.8397E-03 3.5405E-01 2.0558E-06
5.8497E-03 3.5405E-01 2.4552E-06
5.8597E-03 3.5405E-01 5.6147E-06
5.8697E-03 3.5405E-01 3.7570E-06
5.8797E-03 3.5409E-01 4.4462E-05
