 j EnclosedM[g] Rad[cm] Vel[cm/s] Den[g/cc] X_H X_He
153  0.2848210443E+33  0.7428182124E+13 -0.1308947634E+05  0.2127812546E-05  0.5933254450E+00  0.3866232757E+00
154  0.2866944446E+33  0.7429452280E+13 -0.1326249636E+05  0.2126788275E-05  0.5933254450E+00  0.3866232757E+00
155  0.2885676760E+33  0.7430722350E+13 -0.1190644943E+05  0.2126012803E-05  0.5933254450E+00  0.3866232757E+00
156  0.2904407386E+33  0.7431991831E+13 -0.8609526588E+04  0.2126082276E-05  0.5933254450E+00  0.3866232757E+00
157  0.2923136324E+33  0.7433260273E+13 -0.2603182229E+04  0.2126905033E-05  0.5933254450E+00  0.3866232757E+00
158  0.2941863573E+33  0.7434527474E+13  0.4318911231E+04  0.2128069806E-05  0.5933254450E+00  0.3866232757E+00
159  0.2960589134E+33  0.7435793772E+13  0.9982712359E+04  0.2128669623E-05  0.5933254450E+00  0.3866232757E+00
160  0.2979313006E+33  0.7437059570E+13  0.1292686046E+05  0.2128594805E-05  0.5933254450E+00  0.3866232757E+00
161  0.2998035190E+33  0.7438325216E+13  0.1448001900E+05  0.2127932401E-05  0.5933254450E+00  0.3866232757E+00
162  0.3016755686E+33  0.7439590959E+13  0.1452654852E+05  0.2126854127E-05  0.5933254450E+00  0.3866232757E+00
163  0.3035474493E+33  0.7440856809E+13  0.1448304132E+05  0.2125759314E-05  0.5933254450E+00  0.3866232757E+00
164  0.3054191612E+33  0.7442122762E+13  0.1446038018E+05  0.2124670907E-05  0.5933254450E+00  0.3866232757E+00
165  0.3072907043E+33  0.7443388816E+13  0.1445260260E+05  0.2123587810E-05  0.5933254450E+00  0.3866232757E+00
166  0.3091620785E+33  0.7444654971E+13  0.1444429724E+05  0.2122505142E-05  0.5933254450E+00  0.3866232757E+00
167  0.3110332839E+33  0.7445921226E+13  0.1443377799E+05  0.2121422428E-05  0.5933254450E+00  0.3866232757E+00
168  0.3129043204E+33  0.7447187583E+13  0.1442276947E+05  0.2120340209E-05  0.5933254450E+00  0.3866232757E+00
169  0.3147751881E+33  0.7448454041E+13  0.1441204417E+05  0.2119258729E-05  0.5933254450E+00  0.3866232757E+00
170  0.3166458869E+33  0.7449720600E+13  0.1440145070E+05  0.2118177937E-05  0.5933254450E+00  0.3866232757E+00
171  0.3185164169E+33  0.7450987260E+13  0.1439084659E+05  0.2117097788E-05  0.5933254450E+00  0.3866232757E+00
172  0.3203867781E+33  0.7452254021E+13  0.1438022908E+05  0.2116018280E-05  0.5933254450E+00  0.3866232757E+00
173  0.3222569704E+33  0.7453520883E+13  0.1436961808E+05  0.2114939421E-05  0.5933254450E+00  0.3866232757E+00
174  0.3241269939E+33  0.7454787847E+13  0.1435901513E+05  0.2113861211E-05  0.5933254450E+00  0.3866232757E+00
175  0.3259968486E+33  0.7456054911E+13  0.1434842088E+05  0.2112783647E-05  0.5933254450E+00  0.3866232757E+00
176  0.3278665344E+33  0.7457322075E+13  0.1433784109E+05  0.2111706726E-05  0.5933254450E+00  0.3866232757E+00
177  0.3297360514E+33  0.7458589341E+13  0.1432725326E+05  0.2110630456E-05  0.5933254450E+00  0.3866232757E+00
178  0.3316053995E+33  0.7459856708E+13  0.1431661602E+05  0.2109554850E-05  0.5933254450E+00  0.3866232757E+00
179  0.3334745788E+33  0.7461124176E+13  0.1430605429E+05  0.2108479872E-05  0.5933254450E+00  0.3866232757E+00
180  0.3353435893E+33  0.7462391744E+13  0.1429586321E+05  0.2107405419E-05  0.5933254450E+00  0.3866232757E+00
181  0.3372124309E+33  0.7463659414E+13  0.1428549964E+05  0.2106331635E-05  0.5933254450E+00  0.3866232757E+00
182  0.3390811037E+33  0.7464927183E+13  0.1427298195E+05  0.2105259176E-05  0.5933254450E+00  0.3866232757E+00
183  0.3409496076E+33  0.7466195053E+13  0.1425900052E+05  0.2104188019E-05  0.5933254450E+00  0.3866232757E+00
184  0.3428179427E+33  0.7467463025E+13  0.1425251036E+05  0.2103114920E-05  0.5933254450E+00  0.3866232757E+00
185  0.3446861090E+33  0.7468731103E+13  0.1427761975E+05  0.2102034367E-05  0.5933254450E+00  0.3866232757E+00
186  0.3465541064E+33  0.7469999294E+13  0.1433206350E+05  0.2100943369E-05  0.5933254450E+00  0.3866232757E+00
187  0.3484219350E+33  0.7471267526E+13  0.1380188179E+05  0.2099972239E-05  0.5933254450E+00  0.3866232757E+00
188  0.3502895947E+33  0.7472535424E+13  0.1147429674E+05  0.2099622999E-05  0.5933254450E+00  0.3866232757E+00
189  0.3521570856E+33  0.7473802685E+13  0.7598600172E+04  0.2099775782E-05  0.5933254450E+00  0.3866232757E+00
190  0.3540244077E+33  0.7475069002E+13  0.2041546677E+04  0.2100438793E-05  0.5933254450E+00  0.3866232757E+00
191  0.3558915609E+33  0.7476334461E+13 -0.2950037735E+04  0.2100960843E-05  0.5933254450E+00  0.3866232757E+00
192  0.3577585453E+33  0.7477599413E+13 -0.5928443956E+04  0.2100902698E-05  0.5933254450E+00  0.3866232757E+00
193  0.3596253608E+33  0.7478864307E+13 -0.6973715247E+04  0.2100097064E-05  0.5933254450E+00  0.3866232757E+00
194  0.3614920075E+33  0.7480129307E+13 -0.6746960667E+04  0.2099022410E-05  0.5933254450E+00  0.3866232757E+00
195  0.3633584854E+33  0.7481394443E+13 -0.6621079985E+04  0.2097896397E-05  0.5933254450E+00  0.3866232757E+00
196  0.3652247944E+33  0.7482659706E+13 -0.6500077362E+04  0.2096788072E-05  0.5933254450E+00  0.3866232757E+00
197  0.3670909346E+33  0.7483925089E+13 -0.6366179542E+04  0.2095689750E-05  0.5933254450E+00  0.3866232757E+00
198  0.3689569060E+33  0.7485190602E+13 -0.6221084682E+04  0.2094575746E-05  0.5933254450E+00  0.3866232757E+00
199  0.3708227085E+33  0.7486456248E+13 -0.6033836516E+04  0.2093458279E-05  0.5933254450E+00  0.3866232757E+00
200  0.3726883422E+33  0.7487722020E+13 -0.5864426254E+04  0.2092353975E-05  0.5933254450E+00  0.3866232757E+00
201  0.3745538070E+33  0.7488987892E+13 -0.5726846537E+04  0.2091291002E-05  0.5933254450E+00  0.3866232757E+00
202  0.3764191030E+33  0.7490253812E+13 -0.5625182682E+04  0.2090315330E-05  0.5933254450E+00  0.3866232757E+00
203  0.3782842301E+33  0.7491519664E+13 -0.5573856723E+04  0.2089532775E-05  0.5933254450E+00  0.3866232757E+00
204  0.3801491884E+33  0.7492785240E+13 -0.5592755723E+04  0.2089092887E-05  0.5933254450E+00  0.3866232757E+00
205  0.3820139779E+33  0.7494050228E+13 -0.5658267866E+04  0.2089170481E-05  0.5933254450E+00  0.3866232757E+00
206  0.3838785985E+33  0.7495314304E+13 -0.5658913822E+04  0.2089780922E-05  0.5933254450E+00  0.3866232757E+00
207  0.3857430503E+33  0.7496577328E+13 -0.5497721463E+04  0.2090628488E-05  0.5933254450E+00  0.3866232757E+00
208  0.3876073333E+33  0.7497839432E+13 -0.5164704202E+04  0.2091257791E-05  0.5933254450E+00  0.3866232757E+00
209  0.3894714474E+33  0.7499100919E+13 -0.4770180701E+04  0.2091387760E-05  0.5933254450E+00  0.3866232757E+00
210  0.3913353927E+33  0.7500362086E+13 -0.4416826197E+04  0.2091025588E-05  0.5933254450E+00  0.3866232757E+00
211  0.3931991691E+33  0.7501623131E+13 -0.4133006794E+04  0.2090334250E-05  0.5933254450E+00  0.3866232757E+00
212  0.3950627767E+33  0.7502884162E+13 -0.3903240759E+04  0.2089467204E-05  0.5933254450E+00  0.3866232757E+00
213  0.3969262155E+33  0.7504145227E+13 -0.3717950734E+04  0.2088518143E-05  0.5933254450E+00  0.3866232757E+00
214  0.3987894854E+33  0.7505406350E+13 -0.3565000283E+04  0.2087531114E-05  0.5933254450E+00  0.3866232757E+00
215  0.4006525865E+33  0.7506667535E+13 -0.3410973856E+04  0.2086538141E-05  0.5933254450E+00  0.3866232757E+00
216  0.4025155187E+33  0.7507928777E+13 -0.3201772248E+04  0.2085554480E-05  0.5933254450E+00  0.3866232757E+00
217  0.4043782821E+33  0.7509190069E+13 -0.2977405409E+04  0.2084580814E-05  0.5933254450E+00  0.3866232757E+00
218  0.4062408766E+33  0.7510451422E+13 -0.2803097935E+04  0.2083593217E-05  0.5933254450E+00  0.3866232757E+00
219  0.4081033024E+33  0.7511712858E+13 -0.2672591669E+04  0.2082564721E-05  0.5933254450E+00  0.3866232757E+00
220  0.4099655592E+33  0.7512974330E+13 -0.2720549148E+04  0.2081618827E-05  0.5933254450E+00  0.3866232757E+00
